Time [ns],V(U1B5_M_DQ_0__B2) [V]
0,1.33E-05
0.01,1.33E-05
0.02,1.33E-05
0.04,1.33E-05
0.08,1.33E-05
0.148,1.33E-05
0.256745763,1.33E-05
0.365491525,1.33E-05
0.4688,1.33E-05
0.468811627,1.33E-05
0.468823254,1.33E-05
0.477293889,1.33E-05
0.485764524,1.33E-05
0.502705794,1.33E-05
0.5188,1.33E-05
0.53574127,1.34E-05
0.55268254,1.37E-05
0.58656508,1.31E-05
0.626102341,3.07E-05
0.64111322,6.51E-05
0.656124099,0.000123982
0.668042049,0.000171428
0.676601582,0.000193622
0.682756335,0.000194123
0.687931946,0.000175543
0.693107558,0.000128806
0.698283169,4.18E-05
0.7032,-8.86E-05
0.703974013,-0.000114107
0.704748026,-0.00014082
0.706296051,-0.000197464
0.709392103,-0.000325912
0.713771585,-0.000545114
0.720045778,-0.000939229
0.726319972,-0.001424507
0.730953058,-0.001833295
0.735586143,-0.00227404
0.740045347,-0.002715594
0.744504552,-0.003157087
0.748963756,-0.003577911
0.7532,-0.003939032
0.754643526,-0.004048024
0.756087051,-0.004149457
0.758974103,-0.004331405
0.763120145,-0.004533852
0.767266187,-0.004659883
0.772772869,-0.004702486
0.778279551,-0.004597289
0.783786233,-0.004342564
0.789292915,-0.003942132
0.794799597,-0.003407071
0.800306279,-0.002753831
0.805812961,-0.002005428
0.811319643,-0.001190355
0.816826325,-0.00033731
0.822333007,0.000529313
0.827839689,0.001391232
0.833346371,0.002236118
0.838853053,0.00305669
0.844359735,0.003848912
0.849866417,0.004609402
0.855373099,0.005335491
0.860879781,0.006025524
0.866386463,0.006678384
0.871893145,0.00729271
0.877399827,0.007866641
0.882906509,0.008398387
0.888413191,0.008885199
0.893919873,0.009322893
0.899426555,0.009705156
0.904933237,0.010021928
0.910439919,0.010261358
0.915946601,0.010411779
0.921453283,0.010460611
0.926959965,0.010396686
0.932466646,0.010215484
0.9376,0.009942064
0.937623254,0.009940596
0.937646507,0.009939126
0.939090033,0.009840494
0.940533559,0.009734216
0.94342061,0.009502686
0.947888832,0.009090375
0.95338212,0.00849948
0.958875407,0.007837786
0.964368694,0.007136386
0.969861982,0.006433037
0.974352619,0.005886891
0.97635657,0.005658059
0.977092198,0.005576997
0.977391255,0.00554455
0.977523931,0.005530255
0.977587569,0.005523421
0.977595642,0.005522555
0.977599933,0.005522095
0.977601793,0.005522358
0.977603117,0.005522635
0.97760444,0.005522935
0.977605763,0.00552324
0.977607784,0.005523702
0.977611816,0.005524615
0.977615848,0.005525522
0.977619879,0.005526429
0.977623911,0.005527342
0.977627943,0.005528269
0.977633579,0.005529594
0.977641135,0.005531433
0.977648691,0.00553335
0.977656247,0.005535344
0.977665908,0.005537991
0.977675568,0.005540727
0.977687437,0.005544177
0.977702177,0.005548533
0.977721883,0.005554371
0.977741589,0.005560116
0.977767269,0.005567324
0.977792949,0.005574108
0.977818629,0.005580398
0.977851359,0.005587648
0.97789401,0.005595806
0.977936662,0.005602618
0.977979313,0.005608302
0.978039976,0.005615017
0.978111725,0.005621798
0.978183473,0.005628005
0.978255222,0.00563379
0.97832697,0.005638861
0.978423512,0.005643816
0.978520054,0.005646275
0.978616596,0.005646631
0.978713138,0.005645696
0.978843177,0.005643445
0.978973216,0.005640162
0.979103255,0.005635347
0.979233294,0.005628778
0.979363333,0.005620821
0.979547152,0.005608213
0.97973097,0.005594386
0.979914788,0.005579148
0.980180915,0.005554704
0.980447043,0.005528256
0.980852297,0.005485216
0.98138311,0.005424735
0.982132959,0.005334338
0.983386161,0.005179198
0.984814581,0.005008368
0.986243001,0.00485479
0.9876,0.004731568
0.987623254,0.004729672
0.987646507,0.004727784
0.989090033,0.00464036
0.990533559,0.004582058
0.992930126,0.004534424
0.995326694,0.004549754
0.997723261,0.004625212
1,0.004746633
1.00102379,0.004819504
1.002047581,0.004899858
1.004095161,0.005078283
1.007781321,0.005459407
1.01146748,0.005909262
1.01515364,0.006414834
1.019725405,0.007103608
1.024297169,0.007854548
1.028868934,0.008671856
1.033440699,0.009563654
1.037632927,0.010449625
1.041825155,0.011394909
1.046017383,0.012384875
1.05,0.013347932
1.05102379,0.013597271
1.052047581,0.013846053
1.054095161,0.014341632
1.057924276,0.015256583
1.063029625,0.016443833
1.068134974,0.017585458
1.073240322,0.01867123
1.078345671,0.019683693
1.08345102,0.020593674
1.088556369,0.02136406
1.093661718,0.021954411
1.098767067,0.022323991
1.103872415,0.022438726
1.108977764,0.022285688
1.114083113,0.021883653
1.119188462,0.021285232
1.124293811,0.020572984
1.129399159,0.01985398
1.134504508,0.019259048
1.139609857,0.01894416
1.144715206,0.019091396
1.149820555,0.019908355
1.154925904,0.02163072
1.15924846,0.023985333
1.163571016,0.027337054
1.167893572,0.03183037
1.172,0.037244907
1.17302379,0.038810298
1.174047581,0.040448442
1.176095161,0.043904053
1.179207574,0.049666271
1.183426314,0.05849824
1.187645054,0.068478777
1.191863793,0.079535473
